,time_of_purchase,club_membership,checkout_type,payment_method,product_code,department,items_in_purchase,cost,cashier,return
463,30062021--18:15,1,0,1,2,7,81,17.11,95,0
464,30062021--18:20,1,0,2,4,3,26,172.89,46,0
465,30062021--18:24,1,0,2,0,13,4,264.06,21,0
466,30062021--18:26,0,0,2,0,1,6,7.61,35,0
467,30062021--18:28,1,0,2,2,8,36,13.59,51,0
468,30062021--18:29,1,0,3,1,7,8,20.61,27,0
469,30062021--18:29,1,0,2,1,0,15,8.74,41,0
470,30062021--18:32,0,0,3,6,15,6,153.76,67,0
471,30062021--18:33,1,0,0,8,19,22,244.04,22,0
472,30062021--18:34,1,0,0,2,4,1,9.61,71,0
473,30062021--18:40,1,0,1,2,4,15,10.81,27,0
474,30062021--18:40,1,0,0,1,41,26,14.3,87,0
475,30062021--18:42,1,0,1,2,0,7,18.82,36,0
476,30062021--18:44,1,0,2,2,10,18,1.49,24,0
477,30062021--18:51,1,0,3,2,1,20,11.04,91,0
478,30062021--18:51,1,0,0,2,1,8,1.63,46,0
479,30062021--18:53,1,0,1,2,0,112,5.18,68,0
480,30062021--18:55,0,0,1,3,9,12,59.29,61,0
481,30062021--19:03,1,0,0,2,41,61,19.54,48,0
482,30062021--19:06,1,0,0,2,21,5,13.53,76,0
483,30062021--19:15,0,0,0,1,41,7,82.81,49,0
484,30062021--19:21,1,0,1,2,4,5,9.85,35,0
485,30062021--19:23,0,0,0,6,20,11,248.06,28,0
486,30062021--19:26,1,0,1,2,20,43,3.17,25,0
487,30062021--19:30,1,0,0,1,3,27,10.18,91,0
488,30062021--19:32,1,0,2,1,12,6,1.32,60,0
489,30062021--19:37,1,0,1,4,7,23,317.55,55,0
490,30062021--19:41,1,0,0,1,9,66,3.12,54,0
491,30062021--19:51,1,0,0,2,4,39,2.6,24,0
492,30062021--19:53,1,0,2,1,22,9,28.84,78,0
493,30062021--20:02,1,0,2,2,41,75,14.98,26,0
494,30062021--20:22,1,0,0,1,24,36,28.73,65,0
495,30062021--20:41,1,0,0,0,10,184,4333.06,40,1
496,30062021--20:45,1,0,0,0,19,26,247.31,44,0
497,30062021--20:47,0,0,0,0,1,142,532.02,53,1
498,30062021--20:47,1,0,1,0,10,132,16.09,81,0
499,30062021--20:53,1,0,1,1,10,84,108.16,45,1
